Area,Main means of travel to education,Age group,Sex,Year,Value,Flags
"Roseneath-Sawyers Bay","Bicycle","Total people - age group","Total people - sex","2018",15,
"Roseneath-Sawyers Bay","Walk or jog","Total people - age group","Total people - sex","2018",66,
"Roseneath-Sawyers Bay","School bus","Total people - age group","Total people - sex","2018",21,
"Roseneath-Sawyers Bay","Public bus","Total people - age group","Total people - sex","2018",42,
"Roseneath-Sawyers Bay","Train","Total people - age group","Total people - sex","2018",0,
"Roseneath-Sawyers Bay","Ferry","Total people - age group","Total people - sex","2018",0,
"Roseneath-Sawyers Bay","Other","Total people - age group","Total people - sex","2018",3,
"Normanby","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",330,
"Normanby","Study at home","Total people - age group","Total people - sex","2018",12,
"Normanby","Drive a car, truck or van","Total people - age group","Total people - sex","2018",48,
"Normanby","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",168,
"Normanby","Bicycle","Total people - age group","Total people - sex","2018",9,
"Normanby","Walk or jog","Total people - age group","Total people - sex","2018",51,
"Normanby","School bus","Total people - age group","Total people - sex","2018",3,
"Normanby","Public bus","Total people - age group","Total people - sex","2018",30,
"Normanby","Train","Total people - age group","Total people - sex","2018",0,
"Normanby","Ferry","Total people - age group","Total people - sex","2018",0,
"Normanby","Other","Total people - age group","Total people - sex","2018",6,
"North East Valley Knox","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1386,
"North East Valley Knox","Study at home","Total people - age group","Total people - sex","2018",27,
"North East Valley Knox","Drive a car, truck or van","Total people - age group","Total people - sex","2018",147,
"North East Valley Knox","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",102,
"North East Valley Knox","Bicycle","Total people - age group","Total people - sex","2018",87,
"North East Valley Knox","Walk or jog","Total people - age group","Total people - sex","2018",957,
"North East Valley Knox","School bus","Total people - age group","Total people - sex","2018",3,
"North East Valley Knox","Public bus","Total people - age group","Total people - sex","2018",48,
"North East Valley Knox","Train","Total people - age group","Total people - sex","2018",0,
"North East Valley Knox","Ferry","Total people - age group","Total people - sex","2018",0,
"North East Valley Knox","Other","Total people - age group","Total people - sex","2018",21,
"Belleknowes","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",630,
"Belleknowes","Study at home","Total people - age group","Total people - sex","2018",27,
"Belleknowes","Drive a car, truck or van","Total people - age group","Total people - sex","2018",87,
"Belleknowes","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",339,
"Belleknowes","Bicycle","Total people - age group","Total people - sex","2018",6,
"Belleknowes","Walk or jog","Total people - age group","Total people - sex","2018",117,
"Belleknowes","School bus","Total people - age group","Total people - sex","2018",3,
"Belleknowes","Public bus","Total people - age group","Total people - sex","2018",45,
"Belleknowes","Train","Total people - age group","Total people - sex","2018",0,
"Belleknowes","Ferry","Total people - age group","Total people - sex","2018",0,
"Belleknowes","Other","Total people - age group","Total people - sex","2018",6,
"Gardens (Dunedin City)","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",2973,
"Gardens (Dunedin City)","Study at home","Total people - age group","Total people - sex","2018",18,
"Gardens (Dunedin City)","Drive a car, truck or van","Total people - age group","Total people - sex","2018",81,
"Gardens (Dunedin City)","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",15,
"Gardens (Dunedin City)","Bicycle","Total people - age group","Total people - sex","2018",66,
"Gardens (Dunedin City)","Walk or jog","Total people - age group","Total people - sex","2018",2745,
"Gardens (Dunedin City)","School bus","Total people - age group","Total people - sex","2018",0,
"Gardens (Dunedin City)","Public bus","Total people - age group","Total people - sex","2018",15,
"Gardens (Dunedin City)","Train","Total people - age group","Total people - sex","2018",0,
"Gardens (Dunedin City)","Ferry","Total people - age group","Total people - sex","2018",0,
"Gardens (Dunedin City)","Other","Total people - age group","Total people - sex","2018",30,
"Kenmure","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",516,
"Kenmure","Study at home","Total people - age group","Total people - sex","2018",30,
"Kenmure","Drive a car, truck or van","Total people - age group","Total people - sex","2018",78,
"Kenmure","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",234,
"Kenmure","Bicycle","Total people - age group","Total people - sex","2018",6,
"Kenmure","Walk or jog","Total people - age group","Total people - sex","2018",108,
"Kenmure","School bus","Total people - age group","Total people - sex","2018",9,
"Kenmure","Public bus","Total people - age group","Total people - sex","2018",42,
"Kenmure","Train","Total people - age group","Total people - sex","2018",0,
"Kenmure","Ferry","Total people - age group","Total people - sex","2018",0,
"Kenmure","Other","Total people - age group","Total people - sex","2018",0,
"Campus West","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1347,
"Campus West","Study at home","Total people - age group","Total people - sex","2018",12,
"Campus West","Drive a car, truck or van","Total people - age group","Total people - sex","2018",36,
"Campus West","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",12,
"Campus West","Bicycle","Total people - age group","Total people - sex","2018",15,
"Campus West","Walk or jog","Total people - age group","Total people - sex","2018",1257,
"Campus West","School bus","Total people - age group","Total people - sex","2018",0,
"Campus West","Public bus","Total people - age group","Total people - sex","2018",0,
"Campus West","Train","Total people - age group","Total people - sex","2018",0,
"Campus West","Ferry","Total people - age group","Total people - sex","2018",0,
"Campus West","Other","Total people - age group","Total people - sex","2018",9,
"Waldronville","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",348,
"Waldronville","Study at home","Total people - age group","Total people - sex","2018",15,
"Waldronville","Drive a car, truck or van","Total people - age group","Total people - sex","2018",54,
"Waldronville","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",255,
"Waldronville","Bicycle","Total people - age group","Total people - sex","2018",3,
"Waldronville","Walk or jog","Total people - age group","Total people - sex","2018",0,
"Waldronville","School bus","Total people - age group","Total people - sex","2018",15,
"Waldronville","Public bus","Total people - age group","Total people - sex","2018",0,
"Waldronville","Train","Total people - age group","Total people - sex","2018",0,
"Waldronville","Ferry","Total people - age group","Total people - sex","2018",0,
"Waldronville","Other","Total people - age group","Total people - sex","2018",3,
"Green Island","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",528,
"Green Island","Study at home","Total people - age group","Total people - sex","2018",27,
"Green Island","Drive a car, truck or van","Total people - age group","Total people - sex","2018",84,
"Green Island","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",282,
"Green Island","Bicycle","Total people - age group","Total people - sex","2018",0,
"Green Island","Walk or jog","Total people - age group","Total people - sex","2018",51,
"Green Island","School bus","Total people - age group","Total people - sex","2018",51,
"Green Island","Public bus","Total people - age group","Total people - sex","2018",21,
"Green Island","Train","Total people - age group","Total people - sex","2018",0,
"Green Island","Ferry","Total people - age group","Total people - sex","2018",0,
"Green Island","Other","Total people - age group","Total people - sex","2018",3,
"Port Chalmers","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",324,
"Port Chalmers","Study at home","Total people - age group","Total people - sex","2018",18,
"Port Chalmers","Drive a car, truck or van","Total people - age group","Total people - sex","2018",39,
"Port Chalmers","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",123,
"Port Chalmers","Bicycle","Total people - age group","Total people - sex","2018",12,
"Port Chalmers","Walk or jog","Total people - age group","Total people - sex","2018",69,
"Port Chalmers","School bus","Total people - age group","Total people - sex","2018",12,
"Port Chalmers","Public bus","Total people - age group","Total people - sex","2018",45,
"Port Chalmers","Train","Total people - age group","Total people - sex","2018",0,
"Port Chalmers","Ferry","Total people - age group","Total people - sex","2018",0,
"Port Chalmers","Other","Total people - age group","Total people - sex","2018",0,
"Royal Terrace","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",975,
"Royal Terrace","Study at home","Total people - age group","Total people - sex","2018",18,
"Royal Terrace","Drive a car, truck or van","Total people - age group","Total people - sex","2018",57,
"Royal Terrace","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",15,
"Royal Terrace","Bicycle","Total people - age group","Total people - sex","2018",12,
"Royal Terrace","Walk or jog","Total people - age group","Total people - sex","2018",861,
"Royal Terrace","School bus","Total people - age group","Total people - sex","2018",0,
"Royal Terrace","Public bus","Total people - age group","Total people - sex","2018",6,
"Royal Terrace","Train","Total people - age group","Total people - sex","2018",0,
"Royal Terrace","Ferry","Total people - age group","Total people - sex","2018",0,
"Royal Terrace","Other","Total people - age group","Total people - sex","2018",9,
"Arthur Street","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",573,
"Arthur Street","Study at home","Total people - age group","Total people - sex","2018",27,
"Arthur Street","Drive a car, truck or van","Total people - age group","Total people - sex","2018",111,
"Arthur Street","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",66,
"Arthur Street","Bicycle","Total people - age group","Total people - sex","2018",18,
"Arthur Street","Walk or jog","Total people - age group","Total people - sex","2018",324,
"Arthur Street","School bus","Total people - age group","Total people - sex","2018",0,
"Arthur Street","Public bus","Total people - age group","Total people - sex","2018",15,
"Arthur Street","Train","Total people - age group","Total people - sex","2018",0,
"Arthur Street","Ferry","Total people - age group","Total people - sex","2018",0,
"Arthur Street","Other","Total people - age group","Total people - sex","2018",9,
"Opoho","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",372,
"Opoho","Study at home","Total people - age group","Total people - sex","2018",27,
"Opoho","Drive a car, truck or van","Total people - age group","Total people - sex","2018",54,
"Opoho","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",87,
"Opoho","Bicycle","Total people - age group","Total people - sex","2018",9,
"Opoho","Walk or jog","Total people - age group","Total people - sex","2018",162,
"Opoho","School bus","Total people - age group","Total people - sex","2018",0,
"Opoho","Public bus","Total people - age group","Total people - sex","2018",33,
"Opoho","Train","Total people - age group","Total people - sex","2018",0,
"Opoho","Ferry","Total people - age group","Total people - sex","2018",0,
"Opoho","Other","Total people - age group","Total people - sex","2018",0,
"Campus North","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",2331,
"Campus North","Study at home","Total people - age group","Total people - sex","2018",9,
"Campus North","Drive a car, truck or van","Total people - age group","Total people - sex","2018",36,
"Campus North","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",9,
"Campus North","Bicycle","Total people - age group","Total people - sex","2018",24,
"Campus North","Walk or jog","Total people - age group","Total people - sex","2018",2235,
"Campus North","School bus","Total people - age group","Total people - sex","2018",0,
"Campus North","Public bus","Total people - age group","Total people - sex","2018",9,
"Campus North","Train","Total people - age group","Total people - sex","2018",0,
"Campus North","Ferry","Total people - age group","Total people - sex","2018",0,
"Campus North","Other","Total people - age group","Total people - sex","2018",6,
"Campus South","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1677,
"Campus South","Study at home","Total people - age group","Total people - sex","2018",15,
"Campus South","Drive a car, truck or van","Total people - age group","Total people - sex","2018",21,
"Campus South","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",3,
"Campus South","Bicycle","Total people - age group","Total people - sex","2018",3,
"Campus South","Walk or jog","Total people - age group","Total people - sex","2018",1617,
"Campus South","School bus","Total people - age group","Total people - sex","2018",0,
"Campus South","Public bus","Total people - age group","Total people - sex","2018",6,
"Campus South","Train","Total people - age group","Total people - sex","2018",0,
"Campus South","Ferry","Total people - age group","Total people - sex","2018",0,
"Campus South","Other","Total people - age group","Total people - sex","2018",12,
"Mornington","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",720,
"Mornington","Study at home","Total people - age group","Total people - sex","2018",48,
"Mornington","Drive a car, truck or van","Total people - age group","Total people - sex","2018",144,
"Mornington","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",336,
"Mornington","Bicycle","Total people - age group","Total people - sex","2018",15,
"Mornington","Walk or jog","Total people - age group","Total people - sex","2018",99,
"Mornington","School bus","Total people - age group","Total people - sex","2018",6,
"Mornington","Public bus","Total people - age group","Total people - sex","2018",66,
"Mornington","Train","Total people - age group","Total people - sex","2018",0,
"Mornington","Ferry","Total people - age group","Total people - sex","2018",0,
"Mornington","Other","Total people - age group","Total people - sex","2018",9,
"Dunedin Central","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",846,
"Dunedin Central","Study at home","Total people - age group","Total people - sex","2018",27,
"Dunedin Central","Drive a car, truck or van","Total people - age group","Total people - sex","2018",72,
"Dunedin Central","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",30,
"Dunedin Central","Bicycle","Total people - age group","Total people - sex","2018",21,
"Dunedin Central","Walk or jog","Total people - age group","Total people - sex","2018",660,
"Dunedin Central","School bus","Total people - age group","Total people - sex","2018",0,
"Dunedin Central","Public bus","Total people - age group","Total people - sex","2018",27,
"Dunedin Central","Train","Total people - age group","Total people - sex","2018",0,
"Dunedin Central","Ferry","Total people - age group","Total people - sex","2018",0,
"Dunedin Central","Other","Total people - age group","Total people - sex","2018",9,
"Maryhill","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",564,
"Maryhill","Study at home","Total people - age group","Total people - sex","2018",36,
"Maryhill","Drive a car, truck or van","Total people - age group","Total people - sex","2018",87,
"Maryhill","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",321,
"Maryhill","Bicycle","Total people - age group","Total people - sex","2018",12,
"Maryhill","Walk or jog","Total people - age group","Total people - sex","2018",66,
"Maryhill","School bus","Total people - age group","Total people - sex","2018",6,
"Maryhill","Public bus","Total people - age group","Total people - sex","2018",33,
"Maryhill","Train","Total people - age group","Total people - sex","2018",0,
"Maryhill","Ferry","Total people - age group","Total people - sex","2018",0,
"Maryhill","Other","Total people - age group","Total people - sex","2018",6,
"Ravensbourne-St Leonards","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",456,
"Ravensbourne-St Leonards","Study at home","Total people - age group","Total people - sex","2018",33,
"Ravensbourne-St Leonards","Drive a car, truck or van","Total people - age group","Total people - sex","2018",81,
"Ravensbourne-St Leonards","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",222,
"Ravensbourne-St Leonards","Bicycle","Total people - age group","Total people - sex","2018",21,
"Ravensbourne-St Leonards","Walk or jog","Total people - age group","Total people - sex","2018",48,
"Ravensbourne-St Leonards","School bus","Total people - age group","Total people - sex","2018",15,
"Ravensbourne-St Leonards","Public bus","Total people - age group","Total people - sex","2018",36,
"Ravensbourne-St Leonards","Train","Total people - age group","Total people - sex","2018",0,
"Ravensbourne-St Leonards","Ferry","Total people - age group","Total people - sex","2018",0,
"Ravensbourne-St Leonards","Other","Total people - age group","Total people - sex","2018",3,
"Harbourside","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",18,
"Harbourside","Study at home","Total people - age group","Total people - sex","2018",,c
"Harbourside","Drive a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Harbourside","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Harbourside","Bicycle","Total people - age group","Total people - sex","2018",,c
"Harbourside","Walk or jog","Total people - age group","Total people - sex","2018",15,
"Harbourside","School bus","Total people - age group","Total people - sex","2018",,c
"Harbourside","Public bus","Total people - age group","Total people - sex","2018",,c
"Harbourside","Train","Total people - age group","Total people - sex","2018",,c
"Harbourside","Ferry","Total people - age group","Total people - sex","2018",,c
"Harbourside","Other","Total people - age group","Total people - sex","2018",,c
"Fernhill","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",393,
"Fernhill","Study at home","Total people - age group","Total people - sex","2018",30,
"Fernhill","Drive a car, truck or van","Total people - age group","Total people - sex","2018",81,
"Fernhill","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",96,
"Fernhill","Bicycle","Total people - age group","Total people - sex","2018",12,
"Fernhill","Walk or jog","Total people - age group","Total people - sex","2018",108,
"Fernhill","School bus","Total people - age group","Total people - sex","2018",6,
"Fernhill","Public bus","Total people - age group","Total people - sex","2018",54,
"Fernhill","Train","Total people - age group","Total people - sex","2018",0,
"Fernhill","Ferry","Total people - age group","Total people - sex","2018",0,
"Fernhill","Other","Total people - age group","Total people - sex","2018",9,
"Otago Peninsula","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",183,
"Otago Peninsula","Study at home","Total people - age group","Total people - sex","2018",12,
"Otago Peninsula","Drive a car, truck or van","Total people - age group","Total people - sex","2018",30,
"Otago Peninsula","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",96,
"Otago Peninsula","Bicycle","Total people - age group","Total people - sex","2018",0,
"Otago Peninsula","Walk or jog","Total people - age group","Total people - sex","2018",3,
"Otago Peninsula","School bus","Total people - age group","Total people - sex","2018",21,
"Otago Peninsula","Public bus","Total people - age group","Total people - sex","2018",12,
"Otago Peninsula","Train","Total people - age group","Total people - sex","2018",0,
"Otago Peninsula","Ferry","Total people - age group","Total people - sex","2018",0,
"Otago Peninsula","Other","Total people - age group","Total people - sex","2018",3,
"Concord","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",387,
"Concord","Study at home","Total people - age group","Total people - sex","2018",24,
"Concord","Drive a car, truck or van","Total people - age group","Total people - sex","2018",48,
"Concord","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",243,
"Concord","Bicycle","Total people - age group","Total people - sex","2018",0,
"Concord","Walk or jog","Total people - age group","Total people - sex","2018",15,
"Concord","School bus","Total people - age group","Total people - sex","2018",30,
"Concord","Public bus","Total people - age group","Total people - sex","2018",24,
"Concord","Train","Total people - age group","Total people - sex","2018",0,
"Concord","Ferry","Total people - age group","Total people - sex","2018",0,
"Concord","Other","Total people - age group","Total people - sex","2018",3,
"Calton Hill","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",402,
"Calton Hill","Study at home","Total people - age group","Total people - sex","2018",21,
"Calton Hill","Drive a car, truck or van","Total people - age group","Total people - sex","2018",60,
"Calton Hill","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",240,
"Calton Hill","Bicycle","Total people - age group","Total people - sex","2018",6,
"Calton Hill","Walk or jog","Total people - age group","Total people - sex","2018",21,
"Calton Hill","School bus","Total people - age group","Total people - sex","2018",9,
"Calton Hill","Public bus","Total people - age group","Total people - sex","2018",30,
"Calton Hill","Train","Total people - age group","Total people - sex","2018",0,
"Calton Hill","Ferry","Total people - age group","Total people - sex","2018",0,
"Calton Hill","Other","Total people - age group","Total people - sex","2018",12,
"Caversham","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",429,
"Caversham","Study at home","Total people - age group","Total people - sex","2018",21,
"Caversham","Drive a car, truck or van","Total people - age group","Total people - sex","2018",69,
"Caversham","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",165,
"Caversham","Bicycle","Total people - age group","Total people - sex","2018",15,
"Caversham","Walk or jog","Total people - age group","Total people - sex","2018",102,
"Caversham","School bus","Total people - age group","Total people - sex","2018",3,
"Caversham","Public bus","Total people - age group","Total people - sex","2018",54,
"Caversham","Train","Total people - age group","Total people - sex","2018",0,
"Caversham","Ferry","Total people - age group","Total people - sex","2018",0,
"Caversham","Other","Total people - age group","Total people - sex","2018",6,
"Hillside-Portsmouth Drive","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",9,
"Hillside-Portsmouth Drive","Study at home","Total people - age group","Total people - sex","2018",,c
"Hillside-Portsmouth Drive","Drive a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Hillside-Portsmouth Drive","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Hillside-Portsmouth Drive","Bicycle","Total people - age group","Total people - sex","2018",,c
"Hillside-Portsmouth Drive","Walk or jog","Total people - age group","Total people - sex","2018",,c
"Hillside-Portsmouth Drive","School bus","Total people - age group","Total people - sex","2018",,c
"Hillside-Portsmouth Drive","Public bus","Total people - age group","Total people - sex","2018",,c
"Hillside-Portsmouth Drive","Train","Total people - age group","Total people - sex","2018",,c
"Hillside-Portsmouth Drive","Ferry","Total people - age group","Total people - sex","2018",,c
"Hillside-Portsmouth Drive","Other","Total people - age group","Total people - sex","2018",,c
"Kew (Dunedin City)","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",390,
"Kew (Dunedin City)","Study at home","Total people - age group","Total people - sex","2018",45,
"Kew (Dunedin City)","Drive a car, truck or van","Total people - age group","Total people - sex","2018",57,
"Kew (Dunedin City)","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",201,
"Kew (Dunedin City)","Bicycle","Total people - age group","Total people - sex","2018",15,
"Kew (Dunedin City)","Walk or jog","Total people - age group","Total people - sex","2018",36,
"Kew (Dunedin City)","School bus","Total people - age group","Total people - sex","2018",3,
"Kew (Dunedin City)","Public bus","Total people - age group","Total people - sex","2018",27,
"Kew (Dunedin City)","Train","Total people - age group","Total people - sex","2018",0,
"Kew (Dunedin City)","Ferry","Total people - age group","Total people - sex","2018",0,
"Kew (Dunedin City)","Other","Total people - age group","Total people - sex","2018",3,
"Corstorphine","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",438,
"Corstorphine","Study at home","Total people - age group","Total people - sex","2018",27,
"Corstorphine","Drive a car, truck or van","Total people - age group","Total people - sex","2018",54,
"Corstorphine","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",288,
"Corstorphine","Bicycle","Total people - age group","Total people - sex","2018",3,
"Corstorphine","Walk or jog","Total people - age group","Total people - sex","2018",12,
"Corstorphine","School bus","Total people - age group","Total people - sex","2018",6,
"Corstorphine","Public bus","Total people - age group","Total people - sex","2018",36,
"Corstorphine","Train","Total people - age group","Total people - sex","2018",0,
"Corstorphine","Ferry","Total people - age group","Total people - sex","2018",0,
"Corstorphine","Other","Total people - age group","Total people - sex","2018",15,
"Forbury","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",336,
"Forbury","Study at home","Total people - age group","Total people - sex","2018",21,
"Forbury","Drive a car, truck or van","Total people - age group","Total people - sex","2018",45,
"Forbury","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",102,
"Forbury","Bicycle","Total people - age group","Total people - sex","2018",24,
"Forbury","Walk or jog","Total people - age group","Total people - sex","2018",105,
"Forbury","School bus","Total people - age group","Total people - sex","2018",0,
"Forbury","Public bus","Total people - age group","Total people - sex","2018",30,
"Forbury","Train","Total people - age group","Total people - sex","2018",0,
"Forbury","Ferry","Total people - age group","Total people - sex","2018",0,
"Forbury","Other","Total people - age group","Total people - sex","2018",6,
"Bathgate Park","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",405,
"Bathgate Park","Study at home","Total people - age group","Total people - sex","2018",30,
"Bathgate Park","Drive a car, truck or van","Total people - age group","Total people - sex","2018",63,
"Bathgate Park","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",144,
"Bathgate Park","Bicycle","Total people - age group","Total people - sex","2018",15,
"Bathgate Park","Walk or jog","Total people - age group","Total people - sex","2018",114,
"Bathgate Park","School bus","Total people - age group","Total people - sex","2018",6,
"Bathgate Park","Public bus","Total people - age group","Total people - sex","2018",24,
"Bathgate Park","Train","Total people - age group","Total people - sex","2018",0,
"Bathgate Park","Ferry","Total people - age group","Total people - sex","2018",0,
"Bathgate Park","Other","Total people - age group","Total people - sex","2018",12,
"St Clair","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",606,
"St Clair","Study at home","Total people - age group","Total people - sex","2018",18,
"St Clair","Drive a car, truck or van","Total people - age group","Total people - sex","2018",105,
"St Clair","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",258,
"St Clair","Bicycle","Total people - age group","Total people - sex","2018",48,
"St Clair","Walk or jog","Total people - age group","Total people - sex","2018",138,
"St Clair","School bus","Total people - age group","Total people - sex","2018",6,
"St Clair","Public bus","Total people - age group","Total people - sex","2018",30,
"St Clair","Train","Total people - age group","Total people - sex","2018",0,
"St Clair","Ferry","Total people - age group","Total people - sex","2018",0,
"St Clair","Other","Total people - age group","Total people - sex","2018",6,
"Waverley","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",612,
"Waverley","Study at home","Total people - age group","Total people - sex","2018",45,
"Waverley","Drive a car, truck or van","Total people - age group","Total people - sex","2018",105,
"Waverley","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",297,
"Waverley","Bicycle","Total people - age group","Total people - sex","2018",9,
"Waverley","Walk or jog","Total people - age group","Total people - sex","2018",105,
"Waverley","School bus","Total people - age group","Total people - sex","2018",21,
"Waverley","Public bus","Total people - age group","Total people - sex","2018",30,
"Waverley","Train","Total people - age group","Total people - sex","2018",3,
"Waverley","Ferry","Total people - age group","Total people - sex","2018",0,
"Waverley","Other","Total people - age group","Total people - sex","2018",3,
"Macandrew Bay-Company Bay","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",408,
"Macandrew Bay-Company Bay","Study at home","Total people - age group","Total people - sex","2018",30,
"Macandrew Bay-Company Bay","Drive a car, truck or van","Total people - age group","Total people - sex","2018",57,
"Macandrew Bay-Company Bay","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",219,
"Macandrew Bay-Company Bay","Bicycle","Total people - age group","Total people - sex","2018",6,
"Macandrew Bay-Company Bay","Walk or jog","Total people - age group","Total people - sex","2018",63,
"Macandrew Bay-Company Bay","School bus","Total people - age group","Total people - sex","2018",15,
"Macandrew Bay-Company Bay","Public bus","Total people - age group","Total people - sex","2018",15,
"Macandrew Bay-Company Bay","Train","Total people - age group","Total people - sex","2018",0,
"Macandrew Bay-Company Bay","Ferry","Total people - age group","Total people - sex","2018",0,
"Macandrew Bay-Company Bay","Other","Total people - age group","Total people - sex","2018",3,
"Broad Bay-Portobello","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",234,
"Broad Bay-Portobello","Study at home","Total people - age group","Total people - sex","2018",18,
"Broad Bay-Portobello","Drive a car, truck or van","Total people - age group","Total people - sex","2018",24,
"Broad Bay-Portobello","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",126,
"Broad Bay-Portobello","Bicycle","Total people - age group","Total people - sex","2018",6,
"Broad Bay-Portobello","Walk or jog","Total people - age group","Total people - sex","2018",30,
"Broad Bay-Portobello","School bus","Total people - age group","Total people - sex","2018",12,
"Broad Bay-Portobello","Public bus","Total people - age group","Total people - sex","2018",18,
"Broad Bay-Portobello","Train","Total people - age group","Total people - sex","2018",0,
"Broad Bay-Portobello","Ferry","Total people - age group","Total people - sex","2018",0,
"Broad Bay-Portobello","Other","Total people - age group","Total people - sex","2018",3,
"St Kilda South","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",774,
"St Kilda South","Study at home","Total people - age group","Total people - sex","2018",36,
"St Kilda South","Drive a car, truck or van","Total people - age group","Total people - sex","2018",120,
"St Kilda South","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",285,
"St Kilda South","Bicycle","Total people - age group","Total people - sex","2018",48,
"St Kilda South","Walk or jog","Total people - age group","Total people - sex","2018",210,
"St Kilda South","School bus","Total people - age group","Total people - sex","2018",9,
"St Kilda South","Public bus","Total people - age group","Total people - sex","2018",54,
"St Kilda South","Train","Total people - age group","Total people - sex","2018",0,
"St Kilda South","Ferry","Total people - age group","Total people - sex","2018",0,
"St Kilda South","Other","Total people - age group","Total people - sex","2018",12,
"Musselburgh","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",381,
"Musselburgh","Study at home","Total people - age group","Total people - sex","2018",18,
"Musselburgh","Drive a car, truck or van","Total people - age group","Total people - sex","2018",51,
"Musselburgh","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",189,
"Musselburgh","Bicycle","Total people - age group","Total people - sex","2018",21,
"Musselburgh","Walk or jog","Total people - age group","Total people - sex","2018",78,
"Musselburgh","School bus","Total people - age group","Total people - sex","2018",3,
"Musselburgh","Public bus","Total people - age group","Total people - sex","2018",15,
"Musselburgh","Train","Total people - age group","Total people - sex","2018",0,
"Musselburgh","Ferry","Total people - age group","Total people - sex","2018",0,
"Musselburgh","Other","Total people - age group","Total people - sex","2018",9,
"Shiel Hill","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",459,
"Shiel Hill","Study at home","Total people - age group","Total people - sex","2018",15,
"Shiel Hill","Drive a car, truck or van","Total people - age group","Total people - sex","2018",69,
